Round,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Nr.6,Nr.7,Nr.8,Nr.9,Nr.10,Nr.11,Nr.12
1608,1,3,4,5,8,10,11,16,19,20,22,23
1609,1,4,5,7,8,12,13,14,19,20,21,22
1610,1,2,4,5,6,8,10,11,17,19,20,24
1611,1,2,5,6,8,9,10,12,14,16,17,24
1612,1,2,3,5,6,11,13,15,17,18,19,22
1613,2,6,11,12,13,14,17,18,19,21,22,23
1614,3,5,6,8,11,12,13,17,18,20,23,24
1615,2,4,7,8,9,10,12,13,14,18,19,21
1616,1,2,4,6,8,9,10,13,14,15,17,24
1617,1,2,4,5,7,8,13,14,15,16,20,24
1618,2,4,5,6,7,11,12,13,14,18,20,21
1619,1,2,4,7,10,12,16,17,18,19,23,24
1620,1,2,3,5,8,9,13,15,16,21,22,24
1621,1,2,4,5,6,8,13,15,17,18,21,24
1622,5,6,8,9,10,11,12,13,17,18,20,23
1623,1,3,6,9,15,16,17,18,20,21,23,24
1624,1,4,6,7,8,9,10,12,13,14,21,23
1625,2,3,4,5,9,10,12,14,19,20,21,22
1626,1,2,6,10,11,16,18,19,21,22,23,24
1627,1,7,8,10,11,12,13,17,20,21,22,23
1628,3,5,7,10,13,16,17,20,21,22,23,24
1629,2,3,5,6,7,8,10,13,14,18,20,22
1630,1,3,4,5,8,9,10,12,19,20,22,23
1631,1,2,5,8,9,10,12,13,15,17,22,23
1632,1,3,6,8,9,11,17,19,20,21,22,24
1633,2,3,4,5,8,11,13,15,17,20,22,23
1634,1,3,5,6,9,10,14,15,18,19,20,21
1635,2,3,6,9,11,12,14,17,19,20,22,23
1636,1,2,3,5,9,12,13,16,17,18,20,21
1637,1,5,6,7,8,9,13,18,19,20,21,23
1638,1,2,3,4,7,9,10,12,13,15,17,24
1639,1,3,4,5,7,8,12,13,16,18,20,24
1640,1,2,5,7,11,13,14,16,20,21,23,24
1641,1,4,5,6,8,11,15,19,20,21,22,24
1642,2,3,4,6,7,10,11,14,19,20,23,24
1643,3,4,8,10,11,12,13,14,16,19,22,23
1644,1,9,10,12,13,14,15,17,18,19,21,23
1645,2,3,6,7,9,10,13,14,20,21,23,24
1646,1,5,7,9,11,12,14,15,16,17,23,24
1647,1,5,6,7,8,9,12,13,15,22,23,24
1648,1,2,6,8,9,15,16,17,19,22,23,24
1649,1,3,4,5,10,12,13,15,17,18,23,24
1650,2,3,5,6,9,10,13,14,18,19,22,23
1651,3,4,7,9,11,12,13,14,16,17,21,24
1652,2,5,6,8,9,11,14,16,17,18,19,20
1653,1,2,8,9,11,13,16,17,20,22,23,24
1654,1,2,3,4,8,9,10,14,16,17,19,23
1655,1,2,4,5,8,11,13,15,20,21,22,24
1656,3,5,6,8,9,10,11,13,20,21,23,24
1657,2,4,6,8,9,12,13,14,15,17,22,24
1658,1,2,3,4,6,8,10,12,14,20,21,24
1659,1,2,3,6,8,10,12,15,17,18,21,22
1660,2,3,4,7,8,12,14,16,18,21,22,23
1661,1,3,5,7,9,11,12,16,17,18,20,22
1662,1,3,4,7,10,12,15,16,17,18,20,22
1663,1,7,8,11,12,16,17,19,21,22,23,24
1664,1,4,7,8,9,12,13,14,20,21,22,24
1665,1,3,7,8,9,10,11,15,16,17,19,23
1666,3,4,8,10,11,12,14,16,20,21,22,23
1667,1,2,3,4,8,13,15,17,18,21,23,24
1668,1,2,3,7,11,15,18,19,21,22,23,24
1669,3,4,5,8,13,16,17,18,19,21,22,23
1670,1,4,5,7,8,10,14,15,16,19,20,22
1671,4,5,6,7,8,13,16,17,18,20,21,23
1672,1,2,3,6,9,12,16,18,19,21,23,24
1673,2,3,4,8,9,12,13,16,17,21,22,24
1674,2,3,4,5,6,7,10,14,16,20,22,24
1675,5,6,7,11,12,14,17,18,19,21,22,24
1676,4,7,8,9,10,11,12,16,17,19,22,24
1677,5,7,10,11,13,16,17,18,20,21,22,23
1678,1,3,9,11,12,15,17,19,21,22,23,24
1679,2,3,4,6,7,9,10,13,16,20,22,23
1680,1,4,10,12,15,17,18,19,20,22,23,24
1681,2,4,5,7,10,12,14,17,18,21,23,24
1682,2,3,6,10,11,13,15,17,19,20,22,24
1683,3,4,8,11,13,15,16,17,19,20,22,24
1684,1,2,3,4,5,9,11,13,15,18,19,22
1685,3,5,6,8,10,11,14,16,17,18,20,21
1686,1,3,4,5,6,8,10,11,12,18,19,20
1687,1,2,4,5,6,7,9,11,13,14,16,19
1688,5,8,9,11,14,15,17,18,19,21,23,24
1689,1,3,4,5,6,11,13,14,15,18,20,23
1690,2,3,4,5,12,13,15,16,17,21,23,24
1691,1,2,3,5,9,11,14,16,20,21,22,24
1692,4,5,6,7,8,13,14,15,17,20,21,23
1693,2,3,5,6,7,10,15,16,17,18,20,21
1694,1,3,4,8,9,13,17,18,19,20,21,22
1695,1,2,4,6,7,8,9,11,12,17,20,23
1696,1,5,7,9,11,16,19,20,21,22,23,24
1697,2,3,5,9,10,11,18,19,20,21,22,24
1698,1,2,3,5,8,10,11,12,13,14,15,24
1699,2,3,4,6,7,13,14,16,17,21,22,24
1700,2,3,4,5,9,10,11,14,17,19,21,23
1701,1,7,8,9,10,12,13,16,20,21,22,23
1702,1,5,6,7,8,11,15,16,17,19,22,24
1703,1,2,4,6,7,11,15,17,18,19,23,24
1704,2,3,6,7,12,14,15,16,17,18,20,22
1705,3,5,6,7,10,11,13,15,16,18,20,21
1706,1,2,3,5,6,11,12,13,17,21,22,24
1707,1,4,6,7,8,9,11,14,15,16,19,24
1708,1,4,5,6,7,9,10,11,12,15,22,23
1709,1,2,6,7,9,15,16,17,18,19,23,24
1710,2,3,5,6,7,12,13,16,19,21,22,24
1711,1,5,8,9,11,13,15,16,17,19,22,24
1712,2,5,6,7,8,10,13,20,21,22,23,24
1713,1,2,8,9,10,13,15,17,18,21,23,24
1714,3,4,5,7,8,11,14,15,18,19,22,23
1715,2,3,5,7,9,10,11,14,20,21,22,23
1716,5,6,10,11,13,15,17,18,19,20,22,24
1717,1,2,3,4,6,7,10,12,14,18,19,21
1718,5,6,7,8,9,12,15,16,17,20,21,24
1719,1,2,3,6,7,10,11,13,14,15,17,23
1720,3,5,6,7,10,11,12,13,14,16,18,24
1721,1,6,7,9,10,12,14,15,16,20,21,22
1722,1,2,5,6,7,12,15,16,17,19,22,24
1723,1,4,5,6,7,8,10,14,18,19,20,22
1724,1,3,8,9,11,12,13,14,17,19,20,23
1725,3,4,5,7,8,9,12,13,14,21,22,23
1726,1,3,6,8,9,12,15,17,18,20,22,23
1727,2,4,7,8,10,12,13,15,18,19,22,24
1728,2,5,6,11,12,13,18,19,20,22,23,24
1729,2,3,4,6,7,9,13,16,17,18,19,22
1730,3,4,6,8,9,10,11,15,17,22,23,24
1731,1,4,5,10,11,12,13,14,16,20,21,24
1732,1,2,4,7,11,15,17,19,20,22,23,24
1733,3,4,5,6,10,12,14,15,16,18,20,24
1734,1,2,5,7,8,12,13,15,18,19,23,24
1735,1,2,4,5,6,11,12,19,21,22,23,24
1736,1,3,8,13,15,16,17,18,19,21,22,23
1737,5,6,8,11,12,13,14,16,19,20,23,24
1738,1,3,5,6,11,13,17,18,20,21,23,24
1739,3,6,7,11,12,17,18,19,21,22,23,24
1740,1,2,3,7,8,11,12,18,19,20,22,23
1741,1,3,5,6,8,11,12,13,15,19,20,24
1742,2,3,7,8,9,11,15,16,17,20,21,24
1743,3,5,6,8,10,14,15,16,17,18,20,24
1744,3,6,7,9,10,12,14,15,18,21,22,24
1745,3,5,6,8,9,11,12,13,18,19,20,21
1746,1,4,5,6,9,10,12,13,15,18,21,24
1747,3,4,5,6,7,11,13,14,17,19,20,23
1748,1,4,7,9,10,13,14,15,16,20,22,24
1749,1,4,5,7,10,12,15,16,17,18,20,21
1750,1,5,7,11,13,14,15,16,19,21,22,23
1751,1,5,6,7,8,10,14,16,20,21,22,23
1752,1,3,4,5,6,11,12,14,16,18,19,24
1753,1,3,6,11,12,13,14,17,18,19,20,24
1754,1,4,5,6,7,8,10,12,15,17,20,22
1755,2,4,5,7,8,10,12,14,17,20,21,22
1756,5,7,8,9,12,13,14,19,21,22,23,24
1757,4,5,8,9,10,14,15,16,17,20,22,24
1758,10,12,13,14,16,18,19,20,21,22,23,24
1759,1,2,3,4,7,8,12,14,15,19,20,23
1760,1,2,3,7,8,9,14,16,19,22,23,24
1761,2,5,7,10,11,15,16,17,20,21,22,24
1762,2,4,6,9,11,14,15,16,17,18,20,22
1763,2,3,6,8,10,11,15,16,19,20,21,22
1764,1,2,4,5,6,8,10,11,13,22,23,24
1765,1,4,5,9,10,12,15,18,20,21,22,24
1766,2,3,4,10,14,15,17,18,19,21,23,24
1767,1,2,4,8,10,11,14,16,17,18,22,24
1768,1,5,6,8,11,12,13,14,17,19,20,22
1769,1,2,12,13,14,15,17,20,21,22,23,24
1770,1,4,6,7,9,11,12,14,15,16,18,24
1771,1,2,5,7,10,11,12,14,16,17,18,19
1772,1,6,8,11,12,14,15,16,18,19,20,22
1773,2,4,6,9,13,14,15,16,18,20,23,24
1774,2,4,8,9,10,11,13,17,18,22,23,24
1775,2,5,6,7,9,11,12,15,17,18,19,22
1776,3,4,5,7,9,10,11,12,13,15,19,23
1777,1,2,7,8,12,14,15,16,18,20,21,23
1778,1,2,4,6,7,8,9,12,14,16,20,22
1779,1,5,10,11,12,15,16,17,18,21,22,23
1780,3,4,6,8,9,10,13,19,21,22,23,24
1781,4,5,7,8,9,14,15,16,20,21,22,24
1782,1,4,5,6,7,8,13,15,19,21,23,24
1783,2,4,5,6,10,13,16,17,20,22,23,24
1784,3,4,5,9,11,13,16,17,19,22,23,24
1785,1,4,6,7,8,9,13,14,15,19,21,23
1786,3,4,5,8,11,12,15,16,19,22,23,24
1787,1,2,3,4,8,9,11,12,15,18,20,21
1788,5,6,9,10,11,13,16,17,19,20,21,24
1789,3,4,5,6,8,12,14,15,18,20,21,24
1790,1,2,5,7,8,9,10,14,16,19,21,23
1791,1,3,4,5,9,10,12,17,18,19,22,24
1792,1,3,11,12,13,16,17,18,20,21,23,24
1793,2,6,7,9,10,11,13,15,16,17,20,21
1794,4,7,9,10,11,13,15,16,19,20,22,24
1795,1,2,4,7,11,13,15,18,20,21,22,23
1796,3,4,5,7,9,10,12,14,15,16,21,22
1797,2,4,7,8,9,10,11,13,15,16,22,23
1798,3,8,9,11,12,13,14,15,17,18,22,24
1799,1,2,4,5,6,7,10,11,14,22,23,24
1800,2,4,7,8,10,11,15,18,19,20,21,23
1801,1,2,3,5,6,12,14,15,16,22,23,24
1802,5,6,7,9,10,11,12,14,15,18,21,23
1803,4,5,6,8,9,10,13,15,19,20,23,24
1804,2,4,7,12,13,15,16,17,20,21,22,24
1805,3,4,5,8,10,11,16,17,18,19,20,23
1806,2,4,5,6,7,9,11,14,15,16,19,21
1807,1,2,3,5,7,9,10,13,16,19,20,23
1808,3,4,6,10,11,12,13,16,17,20,22,24
1809,6,10,11,14,15,16,17,18,19,21,22,24
1810,2,3,6,7,8,11,13,16,18,20,21,24
1811,2,3,5,7,8,10,11,17,19,20,22,23
1812,2,3,4,5,9,10,11,17,19,20,21,24
1813,3,6,9,10,11,13,15,16,17,21,23,24
1814,5,6,7,8,12,14,15,16,17,18,21,23
1815,3,6,9,12,13,14,15,16,17,18,20,23
1816,4,6,7,8,9,10,12,13,15,17,19,22
1817,2,3,4,5,9,11,12,14,17,19,22,23
1818,1,2,4,8,10,12,13,14,16,20,22,24
1819,1,6,8,9,11,12,13,15,16,17,19,21
1820,1,6,10,11,14,15,17,18,20,22,23,24
1821,4,9,12,13,14,15,17,18,19,20,23,24
1822,1,2,3,7,8,9,11,13,16,20,22,24
1823,1,6,7,9,10,12,13,14,15,17,19,20
1824,3,4,6,7,12,15,18,19,20,21,22,24
1825,1,2,3,5,6,8,10,13,15,16,21,22
1826,1,4,5,7,11,12,15,16,17,20,23,24
1827,2,3,5,7,9,10,12,15,19,20,23,24
1828,2,3,6,7,8,16,17,18,19,20,21,22
1829,2,4,5,6,8,9,10,11,12,13,14,19
1830,1,3,5,6,9,10,11,12,13,14,20,22
1831,1,2,3,6,10,11,12,13,15,16,20,24
1832,3,5,6,9,11,13,14,16,17,20,22,24
1833,2,4,6,9,11,12,15,16,17,18,19,22
1834,2,3,4,6,7,10,11,16,18,19,23,24
1835,3,4,5,6,7,9,10,15,16,18,21,22
1836,1,3,8,9,10,11,14,15,16,19,21,23
1837,2,4,5,6,11,13,14,16,19,20,21,22
1838,1,2,5,6,8,9,10,11,12,16,21,22
1839,1,5,6,7,8,11,14,15,18,20,23,24
1840,3,4,5,6,7,8,10,15,17,21,22,23
1841,2,3,4,6,9,10,12,13,17,21,22,23
1842,1,3,5,7,10,15,17,19,20,21,22,23
1843,1,6,7,9,11,13,15,18,21,22,23,24
1844,1,2,4,6,7,8,9,11,13,18,22,24
1845,1,2,3,4,6,8,10,11,16,17,22,23
1846,2,4,8,9,10,11,14,16,17,18,19,23
1847,1,4,6,9,10,13,14,15,17,21,23,24
1848,1,3,4,9,10,13,14,15,18,20,21,24
1849,2,4,5,7,10,11,12,15,17,21,22,24
1850,4,6,8,9,11,12,13,15,17,18,21,23
1851,1,2,4,7,8,9,10,11,12,17,21,24
1852,3,5,6,7,9,11,17,18,19,20,21,22
1853,2,3,7,8,9,11,13,14,15,16,18,24
1854,1,3,5,9,10,11,13,17,18,20,21,23
1855,1,3,4,5,8,11,17,18,19,20,23,24
1856,6,7,8,9,10,12,15,17,21,22,23,24
1857,1,5,6,7,8,9,11,12,13,14,15,22
1858,2,4,5,11,13,14,15,16,19,20,23,24
1859,3,4,5,7,9,11,14,16,20,22,23,24
1860,2,3,5,8,9,10,12,13,17,18,22,24
1861,2,3,5,6,7,11,12,13,16,17,20,21
1862,2,4,5,6,8,13,15,16,17,20,22,24
1863,2,3,6,8,9,10,12,14,16,17,21,23
1864,3,5,6,7,8,11,12,14,15,19,20,24
1865,1,2,3,4,7,8,9,10,19,21,23,24
1866,4,7,9,10,11,12,15,19,21,22,23,24
1867,1,4,7,9,10,11,14,15,19,20,21,23
1868,2,8,10,12,15,16,17,18,19,20,21,22
1869,2,3,4,5,7,9,11,12,14,15,20,21
1870,1,2,5,6,7,9,10,11,15,17,20,24
1871,5,7,8,10,11,12,15,18,21,22,23,24
1872,1,2,4,5,7,10,11,14,16,18,20,21
1873,3,5,6,8,11,12,14,15,18,19,21,23
1874,1,3,5,6,7,8,10,17,19,20,21,24
1875,6,8,10,11,12,14,15,16,20,21,23,24
1876,1,4,7,8,9,13,14,15,16,18,22,24
1877,3,5,6,9,10,11,12,15,17,21,22,23
1878,2,4,8,9,10,13,16,17,18,19,21,23
1879,3,4,5,6,7,8,12,15,18,19,21,23
1880,2,3,5,6,12,13,14,15,17,19,22,23
1881,2,3,6,8,9,11,14,17,19,21,22,23
1882,2,3,4,5,7,9,10,13,14,16,18,20
1883,1,4,6,7,8,9,11,12,15,18,19,22
1884,5,6,7,10,11,14,16,17,20,21,22,24
1885,6,7,8,9,10,12,13,15,18,19,22,23
1886,2,3,5,6,7,8,9,10,15,18,19,21
1887,3,7,10,11,13,16,17,20,21,22,23,24
1888,1,3,4,6,7,11,12,16,20,21,22,24
1889,1,4,5,10,15,16,17,19,21,22,23,24
1890,2,3,5,7,9,10,11,13,15,17,18,24
1891,3,6,8,9,11,14,15,18,19,20,22,24
1892,4,7,8,9,12,13,15,17,20,21,22,23
1893,2,3,5,7,8,11,13,15,16,17,18,19
1894,1,5,6,8,9,11,13,14,18,20,21,22
1895,2,5,10,15,16,17,18,19,20,21,22,24
1896,4,7,8,9,11,15,17,18,19,22,23,24
1897,2,3,5,7,10,11,12,14,16,17,22,24
1898,3,7,8,9,11,12,13,18,20,21,23,24
1899,3,5,7,9,12,14,17,19,20,21,22,23
1900,1,4,8,9,10,11,13,14,15,19,20,21
1901,1,3,6,7,10,11,13,15,16,17,19,24
1902,3,4,9,11,13,15,16,17,20,21,22,24
1903,2,3,5,6,7,8,11,14,15,19,21,22
1904,1,4,5,7,9,11,13,17,18,19,20,22
1905,1,2,3,6,10,12,13,14,15,18,20,21
1906,1,2,3,4,6,8,14,16,18,21,23,24
1907,5,8,10,12,14,15,17,18,19,20,23,24
1908,1,6,7,8,10,14,16,17,19,22,23,24
1909,2,4,8,9,12,15,16,18,19,20,21,24
1910,2,3,5,6,11,14,16,19,20,21,22,24
1911,1,2,4,5,10,11,13,15,19,20,21,24
1912,2,6,7,9,10,11,14,16,17,19,21,24
1913,2,5,9,11,12,14,16,17,19,20,22,23
1914,2,3,5,6,9,12,14,18,19,21,22,23
1915,1,3,5,7,10,14,16,17,18,20,22,23
1916,2,3,4,5,6,8,10,11,14,20,22,24
1917,2,3,5,7,11,14,15,18,19,20,23,24
1918,4,5,7,9,13,14,15,17,19,21,23,24
1919,2,3,5,7,9,12,13,14,17,19,20,21
1920,1,4,5,8,11,14,15,16,21,22,23,24
1921,1,3,9,10,11,13,15,16,18,19,20,21
1922,1,3,5,6,7,8,9,10,12,14,17,22
1923,2,3,4,5,6,10,13,14,17,18,19,21
1924,3,5,6,9,11,12,13,15,17,19,21,23
1925,1,2,3,4,6,8,9,14,15,17,18,21
1926,3,4,5,6,7,8,9,10,18,19,20,21
1927,2,3,4,6,11,13,14,15,16,17,19,21
1928,1,4,6,8,9,12,13,14,16,17,18,21
1929,2,4,6,7,11,13,14,15,16,17,18,19
1930,1,2,5,8,9,12,15,16,19,20,22,23
1931,1,2,3,7,9,10,12,14,15,19,20,22
1932,1,2,4,6,7,8,11,13,14,16,18,19
1933,3,4,5,6,8,10,14,16,17,20,22,24
1934,3,4,5,6,8,10,14,16,17,19,20,21
1935,3,4,10,11,12,14,15,16,19,20,21,23
1936,2,5,6,8,11,12,16,17,20,22,23,24
1937,5,6,9,12,14,15,18,19,20,21,22,23
1938,2,6,8,9,10,12,13,19,20,21,22,24
1939,1,2,5,8,12,13,14,15,16,18,20,21
1940,1,2,4,6,8,11,12,13,16,20,23,24
1941,2,3,6,8,9,10,12,14,18,19,20,24
1942,3,8,11,12,13,14,15,16,17,19,20,23
1943,1,2,3,4,7,11,13,14,19,20,21,23
1944,2,5,6,8,9,10,11,14,17,18,20,23
1945,7,8,9,10,13,15,16,17,18,19,20,21
1946,2,4,5,6,8,12,15,16,17,22,23,24
1947,1,3,4,5,6,7,11,12,14,17,19,21
1948,2,7,8,11,12,13,18,19,20,21,22,23
1949,2,5,6,7,8,12,14,20,21,22,23,24
1950,2,5,6,7,11,12,13,16,18,20,23,24
1951,1,3,5,7,11,12,13,14,18,19,20,22
1952,2,3,4,6,7,10,11,14,15,16,20,24
1953,1,4,5,6,8,12,13,14,16,18,20,24
1954,2,4,5,10,11,15,16,18,21,22,23,24
1955,2,5,6,10,15,16,17,18,20,21,22,23
1956,1,2,3,4,5,6,9,12,14,21,23,24
1957,1,3,5,11,12,13,14,16,17,21,22,23
1958,3,6,7,8,9,11,12,15,16,17,18,22
1959,2,5,7,9,11,12,14,15,16,18,20,23
1960,1,2,4,6,8,9,11,12,15,16,17,23
1961,4,5,6,7,8,9,10,13,15,17,19,24
1962,1,4,5,6,8,9,10,11,13,15,18,20
1963,1,3,4,6,7,9,10,13,15,20,22,24
1964,3,7,8,14,15,17,19,20,21,22,23,24
1965,5,6,9,10,11,13,14,16,17,18,21,23
1966,3,4,5,6,8,9,10,11,14,15,20,21
1967,2,3,7,9,10,12,13,14,15,20,22,24
1968,1,3,4,5,9,12,15,17,18,19,21,23
1969,2,3,4,5,9,10,13,14,15,22,23,24
1970,1,3,10,11,12,14,15,16,17,18,20,23
1971,3,5,6,9,11,12,13,14,17,21,23,24
1972,2,3,9,11,14,16,17,19,20,22,23,24
1973,1,3,4,5,7,8,9,12,14,15,17,22
1974,2,3,5,7,10,13,17,18,20,21,22,24
1975,4,5,6,7,8,11,12,13,17,22,23,24
1976,3,6,7,10,11,13,15,16,19,22,23,24
1977,2,6,7,8,9,12,13,17,18,19,21,23
1978,2,4,7,8,9,12,13,14,15,17,20,23
1979,2,7,8,10,11,13,14,18,21,22,23,24
1980,3,7,8,13,15,16,17,18,19,20,21,24
1981,1,2,3,8,9,11,13,17,19,22,23,24
1982,2,5,6,7,8,9,12,19,20,22,23,24
1983,1,4,5,6,7,11,13,14,15,18,20,22
1984,1,2,6,8,12,13,15,17,20,22,23,24
1985,2,8,9,10,13,14,15,18,19,20,23,24
1986,4,7,12,13,15,17,18,19,20,21,22,23
1987,1,2,4,5,7,12,16,17,18,19,23,24
1988,1,3,4,6,8,9,10,11,12,13,20,21
1989,1,3,4,6,9,12,15,18,19,21,22,24
1990,1,9,10,11,12,13,15,18,19,20,23,24
1991,2,3,5,6,8,9,11,13,16,19,20,22
1992,4,5,6,7,8,9,10,13,16,19,23,24
1993,1,3,6,12,15,16,18,19,20,21,22,24
1994,4,6,9,13,15,16,17,18,19,21,22,24
1995,1,2,4,6,7,10,12,13,18,19,20,24
1996,2,4,5,7,10,12,16,17,21,22,23,24
1997,3,7,8,9,11,12,14,16,17,21,22,24
1998,2,4,5,8,9,10,11,12,14,15,18,21
1999,2,3,4,8,10,13,16,17,18,19,21,23
2000,1,2,7,10,11,13,16,17,19,20,21,23
2001,1,2,3,5,8,12,16,17,18,20,22,24
2002,5,6,8,9,11,13,14,15,17,18,19,21
2003,1,2,3,5,6,7,8,9,14,17,18,23
2004,3,4,8,11,12,13,15,17,20,22,23,24
2005,1,2,4,5,7,8,10,11,12,16,19,24
2006,3,4,6,7,8,13,15,18,20,21,22,24
2007,3,4,5,6,7,11,15,18,19,21,22,23
2008,2,3,5,8,9,11,16,17,18,19,20,21
2009,1,2,4,6,7,8,9,11,13,16,17,24
2010,2,8,9,10,11,12,15,17,18,22,23,24
2011,2,5,7,11,13,15,16,17,18,21,22,24
2012,4,9,10,11,12,13,14,16,17,18,19,24
2013,5,6,8,11,13,15,16,17,20,22,23,24
2014,1,5,7,11,13,15,17,18,19,22,23,24
2015,3,4,5,6,8,10,17,19,20,22,23,24
2016,1,2,3,11,13,14,16,17,18,19,20,23
2017,3,5,6,8,10,11,13,14,15,16,18,24
2018,1,2,3,5,6,8,9,10,11,14,18,23
2019,1,6,7,10,11,13,14,17,19,20,21,24
2020,1,3,4,8,12,14,16,17,19,21,23,24
2021,1,2,3,4,5,6,7,8,11,18,21,24
2022,5,6,8,12,13,14,16,18,19,20,21,24
2023,2,4,8,9,11,12,13,18,19,21,23,24
2024,1,3,4,5,8,10,11,12,15,16,18,20
2025,1,2,4,5,6,7,8,10,11,14,17,23
2026,1,2,4,5,6,8,13,16,17,18,20,22
2027,2,3,4,5,11,12,14,17,18,19,21,23
2028,6,7,11,12,14,16,17,18,19,20,23,24
2029,1,5,7,8,12,14,15,17,18,20,22,23
2030,1,8,9,11,12,13,15,18,19,20,22,24
2031,1,3,4,5,7,8,10,12,13,19,21,24
2032,1,4,5,6,8,10,11,14,17,18,19,21
2033,1,2,4,5,6,7,8,11,13,18,23,24
2034,2,4,5,9,11,12,13,17,19,20,21,24
2035,4,5,6,7,10,12,13,14,18,19,22,24
2036,1,3,4,5,8,17,18,20,21,22,23,24
2037,7,8,9,11,14,15,16,17,20,21,22,23
2038,1,4,5,7,9,13,14,18,21,22,23,24
2039,1,4,5,9,10,12,15,16,17,19,22,24
2040,5,6,8,9,10,11,12,16,19,21,22,24
2041,1,3,5,7,8,10,11,14,15,19,21,23
2042,1,2,4,5,6,13,15,17,18,19,21,24
2043,1,2,4,10,11,12,13,14,15,16,17,20
2044,1,3,5,7,9,10,16,17,18,20,22,24
2045,1,3,5,6,9,10,12,14,17,18,20,23
2046,1,3,4,5,6,11,13,14,15,16,17,18
2047,1,3,4,5,7,10,12,13,14,15,17,23
2048,1,2,5,8,9,10,11,12,16,21,22,24
2049,2,5,7,8,10,11,13,17,18,21,23,24
2050,1,3,6,7,8,9,15,16,17,19,21,22
2051,1,3,4,5,7,9,11,13,17,18,19,22
2052,1,3,4,5,6,8,9,10,19,20,23,24
2053,3,6,7,8,9,12,13,15,19,20,22,23
2054,1,2,3,4,6,7,8,14,16,18,19,23
2055,1,2,4,8,9,10,11,14,16,20,22,24
2056,1,5,6,7,9,10,12,13,18,19,21,23
2057,1,2,4,5,6,7,13,14,18,20,23,24
2058,1,2,3,5,6,7,9,12,17,19,20,24
2059,1,9,11,12,13,14,15,16,17,19,23,24
2060,1,2,4,5,7,12,17,19,20,21,22,24
2061,1,2,4,6,7,11,12,13,17,19,22,23
2062,1,2,4,8,9,12,14,16,17,21,23,24
2063,1,3,4,5,6,7,8,9,12,15,20,23
2064,2,4,7,8,12,14,16,18,20,21,23,24
2065,1,6,8,9,12,14,17,19,20,21,22,24
2066,1,4,6,9,10,11,15,16,18,19,21,24
2067,1,3,5,6,7,8,13,14,15,16,23,24
2068,1,2,3,4,7,9,11,15,17,21,22,23
2069,1,2,3,5,6,10,11,12,16,18,23,24
2070,1,2,3,5,6,8,10,12,13,17,19,23
2071,1,2,3,5,6,8,13,14,15,18,21,23
2072,2,4,5,7,8,10,11,12,13,16,20,24
2073,1,3,7,8,9,11,12,13,15,18,23,24
2074,1,3,6,8,10,11,16,17,19,21,22,24
2075,1,2,7,8,10,11,12,14,18,19,20,21
2076,3,6,10,12,13,14,15,17,18,19,21,22
2077,4,5,6,10,11,12,14,17,18,19,22,23
2078,2,3,4,5,8,12,14,15,16,17,18,21
2079,1,5,7,8,13,17,18,19,20,21,22,23
2080,1,2,6,8,9,11,13,16,17,18,23,24
2081,2,3,5,7,11,13,16,17,19,21,22,23
2082,4,5,10,13,14,15,17,18,19,22,23,24
2083,2,5,8,9,10,11,12,13,17,18,21,22
2084,2,4,8,9,11,12,16,17,18,19,22,23
2085,2,3,4,6,7,11,13,14,17,18,20,22
2086,1,3,5,7,9,10,14,16,17,18,23,24
2087,2,4,9,10,13,14,15,18,19,20,23,24
2088,5,7,8,11,15,16,18,19,20,21,22,23
2089,1,2,3,6,14,15,16,17,19,20,22,23
2090,1,3,4,5,8,10,12,13,14,15,17,19
2091,3,6,7,9,10,13,17,19,20,21,23,24
2092,2,4,5,6,9,10,14,15,19,20,22,23
2093,1,2,3,5,6,8,14,16,20,22,23,24
2094,1,2,3,4,5,8,9,10,11,12,18,23
2095,1,2,3,4,6,8,11,14,21,22,23,24
2096,2,3,5,9,14,15,16,17,18,19,21,24
2097,2,4,8,9,12,13,15,17,19,22,23,24
2098,1,7,8,10,11,12,15,18,20,21,22,23
2099,1,4,8,9,10,14,17,18,19,20,22,24
2100,1,4,5,6,8,10,12,14,15,17,19,21
2101,2,3,4,5,6,11,12,16,18,19,20,24
2102,1,2,3,4,5,7,9,11,14,19,22,23
2103,1,2,4,6,8,12,13,14,16,19,20,24
2104,4,5,6,9,11,15,16,19,20,21,22,24
2105,2,3,4,5,7,10,12,14,17,18,20,22
2106,2,5,7,10,11,16,18,20,21,22,23,24
2107,2,3,6,7,9,11,12,15,16,20,22,23
2108,1,3,5,7,8,9,10,13,16,17,23,24
2109,3,6,7,8,10,11,12,13,16,20,21,23
2110,1,3,6,9,11,12,13,17,18,19,22,23
2111,1,2,3,5,10,11,14,15,16,17,22,23
2112,1,2,4,5,6,10,11,13,14,16,20,21
2113,1,3,6,8,9,10,11,13,16,19,21,23
2114,2,3,5,7,8,11,12,14,17,19,20,23
2115,1,2,3,6,9,10,11,12,14,17,18,22
2116,1,3,5,7,9,10,11,12,14,19,22,24
2117,3,4,6,8,10,13,14,17,18,21,23,24
2118,1,3,6,8,12,14,15,16,19,20,22,24
2119,2,3,4,6,7,8,9,11,13,17,19,24
2120,1,2,3,4,5,8,14,17,19,21,22,24
2121,3,4,7,8,9,12,13,16,18,19,20,21
2122,1,4,5,9,10,13,14,15,16,18,23,24
